customer_id,name,email,company,segment,country,created_at
C-0001,Radia Lovelace-Byron,radia.lovelace-byron.0001@example.invalid,Nimbus Automation,midmarket,Mexico,2022-04-15T10:35:38Z
C-0002,Blaise Hopper-Jones,blaise.hopper-jones.0002@example.invalid,Ion Assembly,enterprise,Canada,2023-04-11T06:49:44Z
C-0003,Charles Meitner-Hahn,charles.meitner-hahn.0003@example.invalid,Juniper Dynamics,smb,South Korea,2024-12-25T09:39:54Z
C-0004,Charles Curie-Sklodowska,charles.curie-sklodowska.0004@example.invalid,Ion Automation,smb,United States,2022-10-10T01:03:40Z
C-0005,Frances Vaughan-Okoro,frances.vaughan-okoro.0005@example.invalid,Ironwood Fabrication,midmarket,Singapore,2024-04-11T18:18:31Z
C-0006,Hedy Hopper-Jones,hedy.hopper-jones.0006@example.invalid,Cinder Industries,midmarket,Poland,2023-08-31T20:06:18Z
C-0007,Grace Holberton-Nash,grace.holberton-nash.0007@example.invalid,Ember Systems,enterprise,India,2024-08-20T01:34:09Z
C-0008,Nikola Noether-Frobenius,nikola.noether-frobenius.0008@example.invalid,Lumen Motion,smb,India,2024-06-28T13:27:43Z
C-0009,Herman Lamarr-Kiesler,herman.lamarr-kiesler.0009@example.invalid,Monolith Industries,enterprise,Brazil,2023-11-17T02:19:48Z
C-0010,Nikola Babbage-Ada,nikola.babbage-ada.0010@example.invalid,Meridian Motion,enterprise,Germany,2025-04-09T16:43:21Z
C-0011,Chien-Shiung Tesla-Maric,chien-shiung.tesla-maric.0011@example.invalid,Beacon Manufacturing,midmarket,Germany,2022-01-08T20:09:25Z
C-0012,Claude-E Ritchie-Thompson,claude-e.ritchie-thompson.0012@example.invalid,Zephyr Systems,smb,Mexico,2025-05-07T04:37:11Z
C-0013,Henrietta Easley-Boateng,henrietta.easley-boateng.0013@example.invalid,Tundra Mechatronics,smb,Brazil,2024-03-04T12:16:23Z
C-0014,Katherine Perlman-Aziz,katherine.perlman-aziz.0014@example.invalid,Quarry Dynamics,smb,France,2023-09-10T20:12:25Z
C-0015,Margaret Lamarr-Kiesler,margaret.lamarr-kiesler.0015@example.invalid,Tundra Labs,smb,Poland,2023-03-23T14:35:02Z
C-0016,Philip Dijkstra-Venn,philip.dijkstra-venn.0016@example.invalid,Summit Mechatronics,midmarket,Germany,2022-08-08T19:35:29Z
C-0017,George Holberton-Nash,george.holberton-nash.0017@example.invalid,Helios Systems,midmarket,Netherlands,2025-01-22T02:20:28Z
C-0018,Vannevar Dijkstra-Venn,vannevar.dijkstra-venn.0018@example.invalid,Beacon Logistics,smb,Mexico,2025-10-01T01:02:02Z
C-0019,Philip Hopper-Jones,philip.hopper-jones.0019@example.invalid,Onyx Dynamics,smb,Mexico,2022-10-11T01:07:20Z
C-0020,Frances Wu-Chien,frances.wu-chien.0020@example.invalid,Cobalt Assembly,midmarket,Spain,2025-11-30T21:37:30Z
C-0021,Marie Noether-Frobenius,marie.noether-frobenius.0021@example.invalid,Ridgeline Dynamics,smb,Canada,2025-12-25T07:24:35Z
C-0022,Rosalind Rhodes-Quill,rosalind.rhodes-quill.0022@example.invalid,Kestrel Manufacturing,enterprise,France,2022-10-05T09:05:48Z
